loc,subj_idx,rt,angle,response
1,14,0.922974897,78.5,2
1,14,1.684401287,76,2
1,14,1.058162276,101.5,1
1,14,1.109466199,71,2
1,14,1.562558752,80.5,2
1,14,1.189004016,81.5,2
1,14,1.105957292,105,1
1,14,1.848403924,106,1
1,14,1.468834078,70.5,2
1,14,2.2106815,93,1
1,14,1.850881551,109,1
1,14,2.0817659,98,1
1,14,1.535364732,102,1
1,14,1.137576283,104.5,1
1,14,3.053920421,84.5,2
1,14,2.371595505,92,1
1,14,2.70146038,82.5,2
1,14,1.568947487,108.5,1
1,14,1.549399696,96.5,1
1,14,3.153634396,89.5,2
1,14,1.793664075,103,1
1,14,1.310738688,77.5,2
1,14,1.381757554,94,1
1,14,1.160705219,86,2
1,14,1.323313575,94.5,1
1,14,2.136483223,74.5,2
1,14,1.885656289,81,2
1,14,1.751891195,85,2
1,14,1.279432641,80,2
1,14,1.240626092,83.5,2
1,14,1.586766793,70,2
1,14,3.046602208,73,2
1,14,1.745752887,108,1
1,14,1.948642212,92,1
1,14,1.481858822,77.5,2
1,14,2.741582629,106.5,1
1,14,3.751603955,95,1
1,14,1.600237837,82,2
1,14,1.531501241,87,2
1,14,1.363078524,109.5,1
1,14,1.89650388,82.5,2
1,14,1.53396577,100.5,1
1,14,1.299239337,102,1
1,14,2.324953528,90.5,1
1,14,2.707213128,78,2
1,14,2.180757019,91.5,1
1,14,1.578773043,79.5,2
1,14,3.329110391,72.5,2
1,14,2.450814894,109,1
1,14,1.104397655,102.5,1
1,14,2.230186211,106,1
1,14,4.401178239,84,2
1,14,1.890185221,81,2
1,14,1.485806316,96,1
1,14,1.747834966,104,1
1,14,0.973833034,106.5,1
1,14,1.715532261,100,1
1,14,1.263295831,72.5,2
1,14,1.271987009,85.5,2
1,14,2.392379015,107,1
1,14,2.716785652,95.5,1
1,14,1.458812905,87.5,2
1,14,3.768486958,94.5,1
1,14,1.185547007,103.5,1
1,14,1.46367136,70.5,2
1,14,1.564170938,75.5,2
1,14,1.362685659,108,1
1,14,1.183275788,102.5,1
1,14,1.335314171,75,2
1,14,3.275739549,99,1
1,14,1.175517704,97.5,1
1,14,1.168113117,86,2
1,14,1.530705627,107.5,1
1,14,1.726070733,74,2
1,14,1.784301443,101,1
1,14,1.792006638,77,2
1,14,2.218004781,76.5,2
1,14,2.694767389,85.5,2
1,14,2.513148834,86.5,2
1,14,1.809489657,100,1
1,14,1.503469994,78,2
1,14,2.687842364,93.5,1
1,14,1.258014812,95.5,1
1,14,1.132181723,103,1
1,14,1.33145957,81.5,2
1,14,1.932527641,83,2
1,14,1.249937458,76.5,2
1,14,1.815772812,82,2
1,14,2.485328956,88.5,2
1,14,1.998301236,83,2
1,14,2.226927453,98,1
1,14,1.66790396,80,2
1,14,3.585141631,104.5,1
1,14,1.667927065,104,1
1,14,2.580742409,78.5,2
1,14,1.33506537,71,2
1,14,1.478533652,73,2
1,14,1.443889063,79,2
1,14,1.942126757,88,2
1,14,1.731088544,91,1
1,14,1.434519414,97,1
1,14,3.429898324,99.5,1
1,14,1.317373038,87.5,2
1,14,1.162691065,84.5,2
1,14,2.20897208,92.5,1
1,14,1.304963841,97.5,1
1,14,1.133554269,99.5,1
1,14,1.171244991,103.5,1
1,14,1.274365597,110,1
1,14,0.903188676,83.5,2
1,14,1.045106463,101.5,1
1,14,3.087218683,88.5,2
1,14,1.355676788,74.5,2
1,14,3.160648252,85,2
1,14,1.202005791,88,2
1,14,1.491046887,79,2
1,14,1.058144503,70,2
1,14,1.678330322,84,2
1,14,0.877215041,107,1
1,14,0.845013449,108.5,1
1,14,2.276852474,91,1
1,14,1.25424033,105.5,1
1,14,2.415256691,107.5,1
1,14,1.336433709,93.5,1
1,14,1.400292492,97,1
1,14,2.049949393,80.5,2
1,14,1.72593251,75.5,2
1,14,2.734468757,72,2
1,14,2.507554269,71.5,2
1,14,1.204060845,73.5,2
1,14,1.728857695,71.5,2
1,14,1.01177072,99,1
1,14,0.965002408,72,2
1,14,1.366914089,75,2
1,14,3.448740107,87,2
1,14,1.383638752,77,2
1,14,1.27182913,76,2
1,14,1.718562174,94,1
1,14,0.981883693,96.5,1
1,14,1.14015014,96,1
1,14,1.310516168,105,1
1,14,1.006018876,86.5,2
1,14,0.948628624,74,2
1,14,0.961643036,110,1
1,14,0.970794428,100.5,1
1,14,0.918391005,79.5,2
1,14,1.067232683,101,1
1,15,3.660186974,98.5,1
